date,store,commodity,price,quantity,revenue
2022-01-01,Spar,Tomatoes,287.0,22.0,6314.0
2022-01-02,Shoprite,Tomatoes,405.0,146.0,59130.0
2022-01-03,Spar,Tomatoes,222.0,173.0,38406.0
2022-01-04,Spar,Tomatoes,441.0,95.0,41895.0
2022-01-05,Shoprite,Rice,270.0,99.0,26730.0
2022-01-06,Shoprite,Tomatoes,168.0,67.0,11256.0
2022-01-07,Spar,Beans,358.0,63.0,22554.0
2022-01-08,Justrite,Beans,232.0,21.0,4872.0
2022-01-09,Spar,Tomatoes,337.0,23.0,7751.0
2022-01-10,Spar,Tomatoes,356.0,130.0,46280.0
2022-01-11,Spar,Beans,349.0,171.0,59679.0
2022-01-12,Spar,Beans,131.0,190.0,24890.0
2022-01-13,Shoprite,Rice,451.0,130.0,58630.0
2022-01-14,Spar,Beans,260.0,29.0,7540.0
2022-01-15,Justrite,Beans,199.0,84.0,16716.0
2022-01-16,Shoprite,Tomatoes,86.0,153.0,13158.0
2022-01-17,Justrite,Beans,401.0,79.0,31679.0
2022-01-18,Justrite,Rice,361.0,65.0,23465.0
2022-01-19,Justrite,Beans,410.0,110.0,45100.0
2022-01-20,Justrite,Tomatoes,108.0,195.0,21060.0
2022-01-21,Shoprite,Tomatoes,180.0,141.0,25380.0
2022-01-22,Shoprite,Beans,461.0,120.0,55320.0
2022-01-23,Justrite,Tomatoes,251.0,134.0,33634.0
2022-01-24,Justrite,Rice,292.0,141.0,41172.0
2022-01-25,Shoprite,Rice,84.0,29.0,2436.0
2022-01-26,Shoprite,Beans,494.0,147.0,72618.0
2022-01-27,Shoprite,Beans,142.0,33.0,4686.0
2022-01-28,Spar,Beans,487.0,163.0,79381.0
2022-01-29,Spar,Tomatoes,496.0,46.0,22816.0
2022-01-30,Spar,Rice,256.0,63.0,16128.0
2022-01-31,Justrite,Rice,402.0,112.0,45024.0
2022-02-01,Spar,Tomatoes,440.0,158.0,69520.0
2022-02-02,Justrite,Rice,381.0,47.0,17907.0
2022-02-03,Justrite,Beans,354.0,183.0,64782.0
2022-02-04,Spar,Beans,399.0,13.0,5187.0
2022-02-05,Justrite,Beans,262.0,197.0,51614.0
2022-02-06,Spar,Rice,208.0,66.0,13728.0
2022-02-07,Spar,Beans,491.0,182.0,89362.0
2022-02-08,Shoprite,Tomatoes,494.0,29.0,14326.0
2022-02-09,Spar,Tomatoes,73.0,26.0,1898.0
2022-02-10,Shoprite,Rice,453.0,128.0,57984.0
2022-02-11,Spar,Tomatoes,342.0,80.0,27360.0
2022-02-12,Spar,Tomatoes,53.0,13.0,689.0
2022-02-13,Shoprite,Rice,269.0,23.0,6187.0
2022-02-14,Shoprite,Beans,413.0,12.0,4956.0
2022-02-15,Spar,Beans,431.0,89.0,38359.0
2022-02-16,Justrite,Beans,69.0,195.0,13455.0
2022-02-17,Shoprite,Rice,493.0,64.0,31552.0
2022-02-18,Justrite,Tomatoes,201.0,141.0,28341.0
2022-02-19,Justrite,Beans,99.0,129.0,12771.0
2022-02-20,Justrite,Beans,226.0,33.0,7458.0
2022-02-21,Shoprite,Rice,484.0,171.0,82764.0
2022-02-22,Justrite,Beans,145.0,167.0,24215.0
2022-02-23,Shoprite,Rice,154.0,91.0,14014.0
2022-02-24,Justrite,Tomatoes,469.0,156.0,73164.0
2022-02-25,Spar,Rice,299.0,168.0,50232.0
2022-02-26,Spar,Rice,166.0,197.0,32702.0
2022-02-27,Shoprite,Rice,403.0,69.0,27807.0
2022-02-28,Spar,Rice,277.0,156.0,43212.0
2022-03-01,Spar,Tomatoes,115.0,58.0,6670.0
2022-03-02,Justrite,Tomatoes,384.0,72.0,27648.0
2022-03-03,Shoprite,Beans,467.0,119.0,55573.0
2022-03-04,Justrite,Tomatoes,469.0,159.0,74571.0
2022-03-05,Justrite,Tomatoes,311.0,161.0,50071.0
2022-03-06,Justrite,Beans,344.0,118.0,40592.0
2022-03-07,Justrite,Tomatoes,475.0,85.0,40375.0
2022-03-08,Justrite,Rice,292.0,39.0,11388.0
2022-03-09,Justrite,Rice,420.0,67.0,28140.0
2022-03-10,Justrite,Beans,235.0,126.0,29610.0
2022-03-11,Shoprite,Beans,295.0,168.0,49560.0
2022-03-12,Spar,Beans,174.0,109.0,18966.0
2022-03-13,Justrite,Rice,317.0,28.0,8876.0
2022-03-14,Justrite,Tomatoes,180.0,185.0,33300.0
2022-03-15,Justrite,Rice,286.0,182.0,52052.0
2022-03-16,Justrite,Beans,67.0,103.0,6901.0
2022-03-17,Justrite,Tomatoes,89.0,192.0,17088.0
2022-03-18,Justrite,Tomatoes,70.0,122.0,8540.0
2022-03-19,Spar,Rice,448.0,192.0,86016.0
2022-03-20,Spar,Beans,274.0,155.0,42470.0
2022-03-21,Justrite,Rice,404.0,72.0,29088.0
2022-03-22,Spar,Tomatoes,331.0,125.0,41375.0
2022-03-23,Shoprite,Rice,57.0,122.0,6954.0
2022-03-24,Justrite,Rice,149.0,56.0,8344.0
2022-03-25,Shoprite,Beans,289.0,66.0,19074.0
2022-03-26,Shoprite,Beans,136.0,127.0,17272.0
2022-03-27,Justrite,Tomatoes,347.0,54.0,18738.0
2022-03-28,Spar,Rice,477.0,170.0,81090.0
2022-03-29,Shoprite,Rice,63.0,154.0,9702.0
2022-03-30,Justrite,Rice,383.0,13.0,4979.0
2022-03-31,Shoprite,Tomatoes,51.0,157.0,8007.0
2022-04-01,Shoprite,Tomatoes,424.0,56.0,23744.0
2022-04-02,Shoprite,Beans,342.0,152.0,51984.0
2022-04-03,Shoprite,Beans,374.0,56.0,20944.0
2022-04-04,Spar,Beans,471.0,87.0,40977.0
2022-04-05,Shoprite,Rice,90.0,133.0,11970.0
2022-04-06,Shoprite,Rice,367.0,84.0,30828.0
2022-04-07,Shoprite,Beans,365.0,112.0,40880.0
2022-04-08,Spar,Rice,430.0,146.0,62780.0
2022-04-09,Shoprite,Beans,160.0,99.0,15840.0
2022-04-10,Shoprite,Tomatoes,63.0,153.0,9639.0
2022-04-11,Spar,Beans,280.0,78.0,21840.0
2022-04-12,Spar,Tomatoes,133.0,70.0,9310.0
2022-04-13,Spar,Rice,179.0,147.0,26313.0
2022-04-14,Shoprite,Beans,280.0,59.0,16520.0
2022-04-15,Spar,Rice,375.0,12.0,4500.0
2022-04-16,Spar,Tomatoes,194.0,116.0,22504.0
2022-04-17,Shoprite,Tomatoes,428.0,122.0,52216.0
2022-04-18,Spar,Tomatoes,394.0,103.0,40582.0
2022-04-19,Shoprite,Rice,77.0,127.0,9779.0
2022-04-20,Justrite,Rice,115.0,90.0,10350.0
2022-04-21,Spar,Rice,212.0,118.0,25016.0
2022-04-22,Justrite,Rice,278.0,60.0,16680.0
2022-04-23,Shoprite,Tomatoes,310.0,156.0,48360.0
2022-04-24,Spar,Tomatoes,498.0,179.0,89142.0
2022-04-25,Shoprite,Beans,473.0,44.0,20812.0
2022-04-26,Justrite,Beans,489.0,55.0,26895.0
2022-04-27,Shoprite,Rice,213.0,163.0,34719.0
2022-04-28,Spar,Tomatoes,350.0,78.0,27300.0
2022-04-29,Spar,Tomatoes,456.0,102.0,46512.0
2022-04-30,Justrite,Tomatoes,352.0,73.0,25696.0
2022-05-01,Shoprite,Beans,336.0,174.0,58464.0
2022-05-02,Spar,Beans,444.0,58.0,25752.0
2022-05-03,Justrite,Tomatoes,59.0,158.0,9322.0
2022-05-04,Spar,Tomatoes,244.0,83.0,20252.0
2022-05-05,Spar,Tomatoes,167.0,14.0,2338.0
